the_geom,site,description,latitude,longitude,field_5,field_6,field_7,field_8,fecaldescriptiveperstation_average_of_fecal_conform,max,min,count,mean,fecaldescriptiveperstation_percent_safe,percentunsafe,cartodb_id,created_at,updated_at
0101000020E6100000280D350A498352C07FDDE9CE13554440,N6,"Buoy ""31""",-74.051333,40.664667,,,,,309.65,8900,1,167,310,0.96,0.04,58,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000849CF7FF718352C0F48AA71E69524440,N7,"""28"" Buoy Robbins Reef",-74.053833,40.643833,,,,,341.49,9900,1,166,341,0.94,0.06,59,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F4FDD478E98252C00C7558E1964D4440,N8,The Narrows,-74.0455,40.606167,,,,,242.13,14000,1,168,242,0.95,0.05,60,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F70489EDEE7E52C0691EC022BF484440,N9,Steeplechase Pier,-73.983333,40.568333,,,,,36.5,800,1,173,37,1,0,61,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001D5A643BDF7B52C0774B72C0AE484440,N9A,Coney Is W Outfall,-73.9355,40.567833,,,,,39.86,1160,1,121,40,0.99,0.01,62,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000849CF7FF717B52C09E62D520CC5B4440,NC0,English Kills,-73.928833,40.717167,,,,,,200000,4,169,15726,0.64,0.36,63,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F777B6476F7B52C0DBF97E6ABC5C4440,NC1,Maspeth Creek,-73.928667,40.7245,,,,,,200000,3,170,11066,0.72,0.28,64,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001D5A643BDF7B52C06F9F55664A5D4440,NC2,Amoco Tank Farm,-73.9355,40.728833,,,,,,200000,3,170,9014,0.75,0.25,65,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000007C6308008E7C52C06058FE7C5B5E4440,NC3,Whale Creek,-73.946167,40.737167,,,,,,200000,3,171,5345,0.79,0.21,66,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000002F04FA9127A52C0B2101D0247504440,PB2,Midway in Basin,-73.907389,40.627167,,,,,717.96,4000,2,148,718,0.82,0.18,67,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000024B726DD967952C09E62D520CC4F4440,PB3,Mouth of Basin,-73.899833,40.623417,,,,,547.99,4000,2,148,548,0.86,0.14,68,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000005725917D907552C0317E1AF7E6554440,SP1,Head of basin,-73.836944,40.671111,,,,,,200000,1,172,3044,0.89,0.11,69,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000A39410ACAA7652C0D122DBF97E524440,SP2,Spring Creek,-73.854167,40.6445,SITE,DESCRIPTION,LATITUDE,LONGITUDE,490.75,13000,1,173,491,0.9,0.1,70,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000273108AC1C7052C0889CBE9EAF614440,AC1,Alley Creek & Northern Blvd.,-73.75175,40.763172,,,,,,200000,11,154,21816,0.34,0.66,71,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000DF2BBAF59A7352C013AE47E17A544440,BB2,Head of Basin,-73.806333,40.66,,,,,,200000,99,90,35483,0.25,0.75,72,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000098BD6C3B6D7452C0FA7E6ABC74534440,BB4,Mouth of Basin,-73.819167,40.652,,,,,,200000,45,90,6399,0.4,0.6,73,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000004450357A357752C0EC4E779E78724440,BR1,Bronx River and 231st Street,-73.862639,40.894306,,,,,,115000,144,86,6950,0.28,0.72,74,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000008962F206987852C0F030ED9BFB694440,BR3,Westchester Avenue & Bronx Riv,-73.884279,40.827991,,,,,,200000,24,85,8910,0.59,0.41,75,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000003DBB7CEBC37752C0CE6A813D26684440,BR5,Mouth of Bronx River,-73.871333,40.813667,,,,,,20000,5,95,1009,0.82,0.18,76,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000019E42EC2147F52C0CA147310744A4440,CIC2,Coney Island Creek and Cropsey Ave.,-73.985642,40.581667,,,,,,200000,54,121,37402,0.06,0.94,77,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000CCF09F6EA07F52C011E50B5A484A4440,CIC3,Coney Is Creek,-73.994167,40.580333,,,,,,106000,10,123,4735,0.52,0.48,78,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000002C634337FB7052C073DBBE47FD6B4440,E10,Hart Island,-73.765333,40.843667,,,,,25.14,508,1,172,25,1,0,79,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000049BDA772DA7052C0CCCCCCCCCC644440,E11,Little Neck Bay,-73.763333,40.7875,,,,,126.86,2000,1,163,127,0.97,0.03,80,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000017D9CEF7537752C05E471CB281664440,E14,Bronx River,-73.8645,40.800833,,,,,137.84,2000,1,174,138,0.98,0.02,81,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000EE7C3F355E7652C08B6CE7FBA9614440,E15,Flushing Bay South,-73.8495,40.763,,,,,,20000,1,179,1012,0.74,0.26,82,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000AE47E17A147E52C0B45549641F5E4440,E2,23rd Street,-73.97,40.735333,,,,,148.89,2000,1,175,149,0.97,0.03,83,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000005EBA490C027B52C05C8FC2F528644440,E4,Hell Gate,-73.922,40.7825,,,,,165.42,4000,1,175,165,0.98,0.02,84,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000052944BE3177752C0068195438B644440,E6,Flushing Bay,-73.860833,40.7855,,,,,180.35,2000,1,180,180,0.96,0.04,85,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000008C976E12837452C0D7A3703D0A674440,E7,Whitestone,-73.8205,40.805,,,,,128.48,2000,1,174,128,0.96,0.04,86,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000015FDA199277252C05739B4C876664440,E8,Throgs Neck,-73.783667,40.8005,,,,,105.65,2000,1,175,106,0.98,0.02,87,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001E166A4DF37852C0CD74AF93FA524440,F1,Head of Fresh Creek,-73.88985,40.648272,,,,,,20000,44,29,2173,0.65,0.35,88,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000099D4D006607852C02F50526001524440,F5,Mouth of Fresh Creek,-73.880861,40.640667,,,,,,20000,11,63,1251,0.85,0.15,89,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000A39410ACAA7652C066D993C0E6624440,FB1,Flushing Bay North,-73.854167,40.772667,,,,,499.39,12400,1,178,499,0.86,0.14,90,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001EA9BEF38B7552C0938B31B08E614440,FLC1,Flushing Creek,-73.836667,40.762167,,,,,,78000,20,178,3395,0.57,0.43,91,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000055BFD2F9F07552C052B81E85EB614440,FLC2,Flushing Crk. Mouth,-73.842833,40.765,,,,,,98000,1,178,3047,0.68,0.32,92,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000D87F9D9B368052C04529215855554440,G2,Gowanus Channel,-74.003333,40.666667,,,,,665.11,4000,2,160,665,0.82,0.18,93,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000034828DEBDF8052C0CDCCCCCCCC4C4440,GB1,Gravesend Bay,-74.013667,40.6,,,,,221.32,4000,2,144,221,0.96,0.04,94,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
