the_geom,site,description,latitude,longitude,field_5,field_6,field_7,field_8,fecaldescriptiveperstation_average_of_fecal_conform,max,min,count,mean,fecaldescriptiveperstation_percent_safe,percentunsafe,cartodb_id,created_at,updated_at
0101000020E6100000EC2DE57CB17052C0DD24068195634440,LN1,Little Neck Bay South,-73.760833,40.778,,,,,124.59,2000,1,162,125,0.98,0.02,122,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000002AABE97AA27A52C0931804560E754440,N1,Mt. St. Vincent,-73.916167,40.9145,,,,,96.78,2120,1,179,97,0.99,0.01,123,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001FD4450A657C52C09E62D520CC434440,N16,SI-FI-W Gong,-73.943667,40.529667,,,,,9.23,484,1,162,9,1,0,124,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F82F1004C87D52C0213D450E11694440,N3B,125th Street,-73.965333,40.820833,,,,,123.48,1780,1,178,123,0.98,0.02,125,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000340F60915F8052C060E5D022DB614440,N4,42nd Street,-74.005833,40.7645,,,,,208.03,4000,1,178,208,0.98,0.02,126,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000052B81E85EB8152C01904560E2D5A4440,N5,Pier A-The Battery,-74.03,40.7045,,,,,373.07,22000,1,178,373,0.96,0.04,127,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000280D350A498352C07FDDE9CE13554440,N6,"Buoy ""31""",-74.051333,40.664667,,,,,309.65,8900,1,167,310,0.96,0.04,128,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000849CF7FF718352C0F48AA71E69524440,N7,"""28"" Buoy Robbins Reef",-74.053833,40.643833,,,,,341.49,9900,1,166,341,0.94,0.06,129,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F4FDD478E98252C00C7558E1964D4440,N8,The Narrows,-74.0455,40.606167,,,,,242.13,14000,1,168,242,0.95,0.05,130,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F70489EDEE7E52C0691EC022BF484440,N9,Steeplechase Pier,-73.983333,40.568333,,,,,36.5,800,1,173,37,1,0,131,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001D5A643BDF7B52C0774B72C0AE484440,N9A,Coney Is W Outfall,-73.9355,40.567833,,,,,39.86,1160,1,121,40,0.99,0.01,132,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000849CF7FF717B52C09E62D520CC5B4440,NC0,English Kills,-73.928833,40.717167,,,,,,200000,4,169,15726,0.64,0.36,133,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F777B6476F7B52C0DBF97E6ABC5C4440,NC1,Maspeth Creek,-73.928667,40.7245,,,,,,200000,3,170,11066,0.72,0.28,134,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001D5A643BDF7B52C06F9F55664A5D4440,NC2,Amoco Tank Farm,-73.9355,40.728833,,,,,,200000,3,170,9014,0.75,0.25,135,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000007C6308008E7C52C06058FE7C5B5E4440,NC3,Whale Creek,-73.946167,40.737167,,,,,,200000,3,171,5345,0.79,0.21,136,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000002F04FA9127A52C0B2101D0247504440,PB2,Midway in Basin,-73.907389,40.627167,,,,,717.96,4000,2,148,718,0.82,0.18,137,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000024B726DD967952C09E62D520CC4F4440,PB3,Mouth of Basin,-73.899833,40.623417,,,,,547.99,4000,2,148,548,0.86,0.14,138,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000005725917D907552C0317E1AF7E6554440,SP1,Head of basin,-73.836944,40.671111,,,,,,200000,1,172,3044,0.89,0.11,139,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000A39410ACAA7652C0D122DBF97E524440,SP2,Spring Creek,-73.854167,40.6445,,,,,490.75,13000,1,173,491,0.9,0.1,140,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
